Date,KC1,KC2,KC3,,,
3/01/2005,103.1,105.25,106.95,,,
4/01/2005,101.45,103.7,105.4,,,
5/01/2005,98.5,100.7,102.45,,,
6/01/2005,96.8,99.1,101,,,
7/01/2005,96.25,98.55,100.45,,,
10/01/2005,95.6,97.9,99.85,,,
11/01/2005,95.65,97.95,99.9,,,
12/01/2005,98.85,101.15,103.1,,,
13/01/2005,101.1,103.35,105.25,,,
14/01/2005,100.1,102.35,104.25,,,
18/01/2005,104.4,106.6,108.5,,,
19/01/2005,104.1,106.3,108.2,,,
20/01/2005,102,104.25,106.15,,,
21/01/2005,103.25,105.5,107.4,,,
24/01/2005,104.65,106.9,108.9,,,
25/01/2005,105.75,108.1,110.1,,,
26/01/2005,105.1,107.45,109.45,,,
27/01/2005,103.2,105.55,107.55,,,
28/01/2005,105.3,107.65,109.65,,,
31/01/2005,105.35,107.7,109.7,,,
1/02/2005,105.8,108.2,110.2,,,
2/02/2005,104.9,107.3,109.35,,,
3/02/2005,105.3,107.7,109.75,,,
4/02/2005,110.5,112.9,114.9,,,
7/02/2005,112.75,115.2,117.2,,,
8/02/2005,111.7,114.2,116.2,,,
9/02/2005,112.45,115.05,117.05,,,
10/02/2005,113.85,116.5,118.5,,,
11/02/2005,113.45,116.2,118.25,,,
14/02/2005,112.4,115.4,117.45,,,
15/02/2005,117.8,120.6,122.65,,,
16/02/2005,116.85,119.5,121.55,,,
17/02/2005,117.05,119.5,121.65,,,
18/02/2005,118.05,120.3,122.45,,,
22/02/2005,115.1,117.25,119.5,,,
23/02/2005,121.55,123.65,125.75,,,
24/02/2005,119.2,121.4,123.7,,,
25/02/2005,115.25,117.4,119.7,,,
28/02/2005,119.15,121.55,123.95,,,
1/03/2005,119.05,121.45,123.85,,,
2/03/2005,119.35,121.55,123.95,,,
3/03/2005,120.9,123.05,125.45,,,
4/03/2005,121.85,124.05,126.45,,,
7/03/2005,128,130.2,132.6,,,
8/03/2005,130.65,132.85,135.2,,,
9/03/2005,129.5,131.75,134.1,,,
10/03/2005,135.75,138.1,140.45,,,
11/03/2005,134.45,136.65,139.05,,,
14/03/2005,132.5,134.7,137.1,,,
15/03/2005,135,136.9,139.35,,,
16/03/2005,134.6,136.35,138.8,,,
17/03/2005,135.1,136.1,138.6,,,
18/03/2005,131.6,133.2,135.7,,,
21/03/2005,130.65,133.2,135.55,,,
22/03/2005,131.35,133.95,136.3,,,
23/03/2005,125.25,127.85,130.2,,,
24/03/2005,120.9,123.6,125.95,,,
28/03/2005,122.35,125.05,127.4,,,
29/03/2005,122.05,124.8,127.15,,,
30/03/2005,125,127.8,130.15,,,
31/03/2005,126.4,129.25,131.6,,,
1/04/2005,123.95,126.8,129.2,,,
4/04/2005,123.05,125.95,128.4,,,
5/04/2005,126.1,129,131.45,,,
6/04/2005,124.7,127.65,130.1,,,
7/04/2005,121.95,124.95,127.4,,,
8/04/2005,116.85,119.85,122.35,,,
11/04/2005,113.5,116.45,118.95,,,
12/04/2005,114.85,117.85,120.3,,,
13/04/2005,114.6,117.65,120.1,,,
14/04/2005,111.05,114.1,116.5,,,
15/04/2005,112.55,115.65,118.05,,,
18/04/2005,111.95,115.15,117.65,,,
19/04/2005,118,121.35,123.9,,,
20/04/2005,121.85,124.85,127.4,,,
21/04/2005,119.75,122.75,125.4,,,
22/04/2005,124.8,127.8,130.35,,,
25/04/2005,124.4,127.35,129.85,,,
26/04/2005,129.6,132.45,134.95,,,
27/04/2005,130.45,133.35,135.9,,,
28/04/2005,128,130.9,133.45,,,
29/04/2005,125.15,127.95,130.6,,,
2/05/2005,120.7,123.55,126.3,,,
3/05/2005,119.1,121.9,124.65,,,
4/05/2005,122.7,125.45,128.35,,,
5/05/2005,120.35,122.95,125.85,,,
6/05/2005,121.9,124.5,127.35,,,
9/05/2005,121.45,123.95,126.85,,,
10/05/2005,119.15,121.6,124.5,,,
11/05/2005,122.15,124.75,127.65,,,
12/05/2005,119.9,122.5,125.4,,,
13/05/2005,119,121.5,124.4,,,
16/05/2005,113.75,116.25,119.15,,,
17/05/2005,115.7,118.2,121.05,,,
18/05/2005,116.05,118.4,121.25,,,
19/05/2005,116.8,119.7,123.35,,,
20/05/2005,117,120,123.75,,,
23/05/2005,118.15,121.15,124.9,,,
24/05/2005,119.65,122.7,126.45,,,
25/05/2005,122.4,125.5,129.25,,,
26/05/2005,123.7,126.8,130.5,,,
27/05/2005,121.9,125.05,128.75,,,
31/05/2005,118.35,121.55,125.3,,,
1/06/2005,118.05,121.25,125.05,,,
2/06/2005,122,125.3,129,,,
3/06/2005,125.55,128.85,132.4,,,
6/06/2005,124.1,127.35,130.85,,,
7/06/2005,125.75,129,132.5,,,
8/06/2005,121.4,124.75,128.35,,,
9/06/2005,116.4,119.75,123.35,,,
10/06/2005,113,116.35,119.95,,,
13/06/2005,109.75,113.15,116.75,,,
14/06/2005,110.75,114.25,117.85,,,
15/06/2005,111.15,114.6,118.15,,,
16/06/2005,109.55,112.95,116.5,,,
17/06/2005,107.6,110.9,114.45,,,
20/06/2005,109,112.35,116.2,,,
21/06/2005,107.75,111.2,115.1,,,
22/06/2005,110.8,114.25,118.1,,,
23/06/2005,108.4,111.45,115.3,,,
24/06/2005,105.45,108.5,112.45,,,
27/06/2005,102.7,105.7,109.55,,,
28/06/2005,104.3,107.5,111.35,,,
29/06/2005,103.1,106.45,110.3,,,
30/06/2005,104.65,108.05,111.9,,,
1/07/2005,102.1,105.3,109.05,,,
5/07/2005,102.2,105.3,109.1,,,
6/07/2005,104.65,107.4,111.25,,,
7/07/2005,104.5,107.15,111.05,,,
8/07/2005,104.15,106.9,110.95,,,
11/07/2005,101.75,104.55,108.75,,,
12/07/2005,102.35,104.9,109.15,,,
13/07/2005,102.5,104.9,109.15,,,
14/07/2005,106.15,108.55,112.8,,,
15/07/2005,103.25,105.5,109.85,,,
18/07/2005,97.85,100.1,104.55,,,
19/07/2005,94.15,96.55,101,,,
20/07/2005,98.45,102.9,106.65,,,
21/07/2005,98.9,103.3,106.95,,,
22/07/2005,99.45,103.85,107.5,,,
25/07/2005,102.1,106.4,110,,,
26/07/2005,101.85,106.25,109.95,,,
27/07/2005,99.35,103.7,107.35,,,
28/07/2005,101.8,106.05,109.6,,,
29/07/2005,103.15,107.65,111.35,,,
1/08/2005,102.15,106.65,110.45,,,
2/08/2005,106.6,111.1,115,,,
3/08/2005,105.75,110.3,114.2,,,
4/08/2005,106.25,110.8,114.65,,,
5/08/2005,105.35,109.95,113.7,,,
8/08/2005,102.3,106.95,110.85,,,
9/08/2005,102.6,107.35,111.2,,,
10/08/2005,105.7,110.5,114.4,,,
11/08/2005,106.75,111.5,115.35,,,
12/08/2005,104.9,109.55,113.4,,,
15/08/2005,96.15,100.9,104.9,,,
16/08/2005,96.9,101.45,105.45,,,
17/08/2005,97.75,102.35,106.45,,,
18/08/2005,95.3,99.8,103.9,,,
19/08/2005,96.1,100.5,104.5,,,
22/08/2005,96.35,100.7,104.55,,,
23/08/2005,98.95,102.75,106.45,,,
24/08/2005,96.15,100,103.8,,,
25/08/2005,93.15,97,100.9,,,
26/08/2005,91.65,95.7,99.7,,,
29/08/2005,92.6,95.75,99.5,,,
30/08/2005,94.5,98,101.45,,,
31/08/2005,97.75,101.05,104.35,,,
1/09/2005,101.95,104.95,108.05,,,
2/09/2005,100,103.05,106.2,,,
6/09/2005,97.45,100.75,103.95,,,
7/09/2005,91.5,94.75,98.35,,,
8/09/2005,92.7,95.95,99.45,,,
9/09/2005,92.2,95.45,98.9,,,
12/09/2005,89.05,92.15,95.8,,,
13/09/2005,88.65,91.9,95.55,,,
14/09/2005,91.4,94.65,98.3,,,
15/09/2005,89.35,92.25,95.9,,,
16/09/2005,88.2,90.2,93.8,,,
19/09/2005,84.45,86.45,90.1,,,
20/09/2005,91.75,92.5,96.05,,,
21/09/2005,91.1,94.7,96.8,,,
22/09/2005,92.3,95.7,97.75,,,
23/09/2005,91.5,94.85,96.95,,,
26/09/2005,87.65,91.25,93.4,,,
27/09/2005,88.15,91.7,93.85,,,
28/09/2005,92.9,96.3,98.4,,,
29/09/2005,92.95,96.25,98.35,,,
30/09/2005,93.45,96.8,98.9,,,
3/10/2005,92.85,96.2,98.3,,,
4/10/2005,92.7,95.9,97.95,,,
5/10/2005,93.7,96.95,99,,,
6/10/2005,93.5,96.8,98.85,,,
7/10/2005,94.85,98.1,100.2,,,
10/10/2005,98.9,102.1,104.15,,,
