Date,HG1,HG2,HG3,,,,,,
3/01/2005,147.35,143.7,140,,,,,,
4/01/2005,134.3,131.1,128,,,,,,
5/01/2005,137.5,134.2,130.8,,,,,,
6/01/2005,137.5,134.25,130.8,,,,,,
7/01/2005,137,133.7,130.3,,,,,,
10/01/2005,136.95,133.65,130.25,,,,,,
11/01/2005,139.7,136.35,132.95,,,,,,
12/01/2005,140.4,137.1,133.7,,,,,,
13/01/2005,138.1,135,131.8,,,,,,
14/01/2005,139.6,136.8,133.6,,,,,,
18/01/2005,140.15,137.2,134.25,,,,,,
19/01/2005,140.95,137.8,134.65,,,,,,
20/01/2005,141.5,138.25,135.15,,,,,,
21/01/2005,143.5,139.85,136.75,,,,,,
24/01/2005,143,139.7,136.35,,,,,,
25/01/2005,142.9,139.95,136.65,,,,,,
26/01/2005,143.55,140.6,137.2,,,,,,
27/01/2005,142.7,140,136.7,,,,,,
28/01/2005,143.85,141.1,137.6,,,,,,
31/01/2005,143.5,141,137.5,,,,,,
1/02/2005,141.6,139.55,136.25,,,,,,
2/02/2005,139.35,137.55,134.45,,,,,,
3/02/2005,138.85,137.2,134.2,,,,,,
4/02/2005,137.55,136,133,,,,,,
7/02/2005,138.85,137.3,134.3,,,,,,
8/02/2005,138.8,137.65,134.55,,,,,,
9/02/2005,138.7,137.65,134.65,,,,,,
10/02/2005,142.5,141.4,138.25,,,,,,
11/02/2005,142.25,141.15,137.75,,,,,,
14/02/2005,143.95,142.8,139.2,,,,,,
15/02/2005,145.85,144.9,141.45,,,,,,
16/02/2005,144.8,144.05,140.65,,,,,,
17/02/2005,149.35,148.6,144.9,,,,,,
18/02/2005,149.2,148.75,144.95,,,,,,
22/02/2005,148.95,148.9,145.2,,,,,,
23/02/2005,150,149.5,146.1,,,,,,
24/02/2005,148.3,148,144.5,,,,,,
25/02/2005,148.9,148.6,145.1,,,,,,
28/02/2005,150,149.85,146.25,,,,,,
1/03/2005,146.45,146.45,143.4,,,,,,
2/03/2005,147.7,147.7,144.6,,,,,,
3/03/2005,147.5,147.6,144.5,,,,,,
4/03/2005,149.2,149.4,146.5,,,,,,
7/03/2005,149.45,149.65,146.8,,,,,,
8/03/2005,149.75,149.95,147.55,,,,,,
9/03/2005,150.2,150.35,148.15,,,,,,
10/03/2005,149.5,149.6,147.55,,,,,,
11/03/2005,148.1,147.9,145.9,,,,,,
14/03/2005,147.5,147.05,144.9,,,,,,
