Date,C1,C2,C3,,,
3/01/2005,201.75,209.75,217.25,,,
4/01/2005,201,208.75,216.25,,,
5/01/2005,201.5,209.25,216.5,,,
6/01/2005,208.75,216,222.25,,,
7/01/2005,206.75,214.75,221.5,,,
10/01/2005,206.75,214.75,221.5,,,
11/01/2005,206.75,214.5,221.5,,,
12/01/2005,200.5,208.25,215.5,,,
13/01/2005,200,207.5,214.75,,,
14/01/2005,197.25,204.75,212,,,
18/01/2005,196,203.5,210.5,,,
19/01/2005,196.75,204,211,,,
20/01/2005,197.75,204.75,211.5,,,
21/01/2005,197,204.25,211.25,,,
24/01/2005,197.75,205.25,212,,,
25/01/2005,199,206.75,213.75,,,
26/01/2005,198.75,206.25,213.75,,,
27/01/2005,195.75,203.25,210.75,,,
28/01/2005,195.75,203.25,210.75,,,
31/01/2005,197,204.5,211.75,,,
1/02/2005,197,204.75,212,,,
2/02/2005,195.25,203.25,210.5,,,
3/02/2005,195,203,210.5,,,
4/02/2005,195,203,210.25,,,
7/02/2005,196.25,204.5,211.25,,,
8/02/2005,194.75,202.75,209.75,,,
9/02/2005,195,203,209.75,,,
10/02/2005,198.25,206,212.5,,,
11/02/2005,198.25,206,212.5,,,
14/02/2005,200.5,208.5,215.25,,,
15/02/2005,200,207.5,214.5,,,
16/02/2005,197,204.25,211.5,,,
17/02/2005,199.25,207,214,,,
18/02/2005,200,207.75,214.75,,,
22/02/2005,207.5,215.25,222.25,,,
23/02/2005,205.75,213.75,220.75,,,
24/02/2005,205.75,213.5,220.75,,,
25/02/2005,211.5,221.5,227.5,,,
28/02/2005,214.5,222.75,229.75,,,
1/03/2005,211,219.25,226.75,,,
2/03/2005,210.25,219,226.25,,,
3/03/2005,209.5,218,225,,,
4/03/2005,209,217,224.25,,,
7/03/2005,205.5,213.25,220.25,,,
8/03/2005,206.75,214.25,221.25,,,
9/03/2005,209.25,216.25,223.25,,,
10/03/2005,212.5,220,227,,,
11/03/2005,217.5,224.75,231.5,,,
14/03/2005,214.5,221,228,,,
15/03/2005,228.5,235.25,240.25,,,
16/03/2005,225.5,233,238.25,,,
17/03/2005,223.5,231.25,237.25,,,
18/03/2005,219.75,227.5,234.25,,,
21/03/2005,214.5,222.5,229.5,,,
22/03/2005,214,222,228.5,,,
23/03/2005,210.75,218.75,225.5,,,
24/03/2005,210.5,218.5,224.75,,,
28/03/2005,212.75,220.5,226.25,,,
29/03/2005,213,221,226.5,,,
30/03/2005,212.5,220.25,226.25,,,
31/03/2005,213,221,227.5,,,
1/04/2005,212.75,221,228,,,
4/04/2005,209.75,218,225.75,,,
5/04/2005,205.5,213.75,221.5,,,
6/04/2005,207.25,215.5,222.5,,,
7/04/2005,205.5,214,221.25,,,
8/04/2005,204,212.5,219.75,,,
11/04/2005,205.75,214,221.25,,,
12/04/2005,206.75,215.25,222.25,,,
13/04/2005,205.75,214.25,221.25,,,
14/04/2005,207.5,215.75,222.5,,,
15/04/2005,206.25,214.25,221.25,,,
18/04/2005,204.25,212.5,219.75,,,
19/04/2005,209.5,217.75,224.5,,,
20/04/2005,210.75,219,225.75,,,
21/04/2005,211.25,219.5,226.5,,,
22/04/2005,209.25,217.5,224.5,,,
25/04/2005,213.25,222.25,229,,,
26/04/2005,213,221.75,228.75,,,
27/04/2005,208.25,217,224.5,,,
28/04/2005,204.5,213,220.75,,,
29/04/2005,204.75,213.5,221.5,,,
2/05/2005,200.5,209,217,,,
3/05/2005,197,205,213,,,
4/05/2005,198,206,214.25,,,
5/05/2005,199.75,208,216.25,,,
6/05/2005,200.5,208.25,216.25,,,
9/05/2005,199.75,207.75,215.75,,,
10/05/2005,200.25,208.25,216.25,,,
11/05/2005,198.25,206.5,214.75,,,
12/05/2005,196.25,204.25,212.25,,,
13/05/2005,195.25,203.5,211.75,,,
16/05/2005,207,215,225.25,,,
17/05/2005,207.5,215.5,225.5,,,
18/05/2005,210.75,219,228.75,,,
19/05/2005,209.5,217.75,227.75,,,
20/05/2005,213.25,221.25,231,,,
23/05/2005,224.5,232.25,240.5,,,
24/05/2005,221.25,229,238.25,,,
25/05/2005,222.75,230.75,239.75,,,
26/05/2005,225,233,241.75,,,
27/05/2005,221.25,229.5,238.75,,,
31/05/2005,222,230.75,239.25,,,
1/06/2005,224.5,233.25,241.75,,,
2/06/2005,217,225.75,235,,,
3/06/2005,218.25,227.25,236.25,,,
6/06/2005,220.75,229.75,238.5,,,
7/06/2005,220.25,229.75,238.25,,,
8/06/2005,216,225.5,234.75,,,
9/06/2005,215.5,225,234.5,,,
10/06/2005,210,220.25,230.25,,,
13/06/2005,215,224.75,234.75,,,
14/06/2005,219,228.25,238.75,,,
15/06/2005,224.25,233.75,244.5,,,
16/06/2005,225.75,234.75,245.5,,,
17/06/2005,229,238.5,249,,,
20/06/2005,235.5,245.25,255.75,,,
21/06/2005,232.25,242,252.25,,,
22/06/2005,229.5,238.75,249.75,,,
23/06/2005,226.5,235.75,246.75,,,
24/06/2005,232.75,242,252.75,,,
27/06/2005,221.5,231.25,241.5,,,
28/06/2005,218.5,227.75,238.5,,,
29/06/2005,216.5,226,237,,,
30/06/2005,212.25,222.25,231.75,,,
1/07/2005,216.5,225.5,235.75,,,
5/07/2005,231,240,251,,,
6/07/2005,230.75,239.75,251,,,
7/07/2005,233.75,241.75,253,,,
8/07/2005,226.25,234.75,246.25,,,
11/07/2005,226.75,235.25,246.75,,,
12/07/2005,227,235.5,247,,,
13/07/2005,237.25,244.75,256.25,,,
14/07/2005,245.25,250.5,261.75,,,
15/07/2005,257.75,268,272,,,
18/07/2005,260,270,273.5,,,
19/07/2005,248.5,259,264.5,,,
20/07/2005,241.5,252.25,258.25,,,
21/07/2005,234,244.75,251.5,,,
22/07/2005,233.5,244.75,251.75,,,
25/07/2005,230.5,241.25,247.75,,,
26/07/2005,234.25,245.25,252,,,
27/07/2005,236.5,247.75,255.25,,,
28/07/2005,241,252.5,259.5,,,
29/07/2005,236.5,248.25,255.5,,,
1/08/2005,231.75,244.25,252,,,
2/08/2005,232.5,245.5,252.75,,,
3/08/2005,227,240,247.75,,,
4/08/2005,224.5,237.5,246.25,,,
5/08/2005,220.5,234.5,243.5,,,
8/08/2005,222,235.75,243.5,,,
9/08/2005,218.75,232.75,241,,,
10/08/2005,223,236.5,246,,,
11/08/2005,225,238.25,247.25,,,
12/08/2005,217.75,231,239.75,,,
15/08/2005,210.5,223.25,233,,,
16/08/2005,209.5,222.25,232,,,
17/08/2005,213,226.5,236.25,,,
18/08/2005,211.25,224.75,234.5,,,
