Date,HO1,HO2,HO3
3/01/2005,119.22,118.2,114.1
4/01/2005,124.66,123.66,118.91
5/01/2005,121.84,121.23,117.23
6/01/2005,128.13,127.33,122.58
7/01/2005,127.33,126.72,121.97
10/01/2005,127.63,127.09,121.79
11/01/2005,129.36,128.91,123.81
12/01/2005,130.04,129.62,125.12
13/01/2005,134.11,133.44,128.69
14/01/2005,135.09,134.37,129.57
18/01/2005,134.38,133.83,129.23
19/01/2005,134.26,133.53,129.03
20/01/2005,133.98,132.86,128.36
21/01/2005,138.37,136.95,132.1
24/01/2005,140.32,138.6,133.9
25/01/2005,142.48,140.88,136.08
26/01/2005,140.33,139.19,134.44
27/01/2005,139.69,138.63,134.48
28/01/2005,133.8,132.72,129.22
31/01/2005,133.08,134.81,132.01
1/02/2005,131.39,128.94,125.94
2/02/2005,129.7,127.52,124.92
3/02/2005,127.65,125.49,123.34
4/02/2005,127.42,125.05,122.65
7/02/2005,123.06,122,120.2
8/02/2005,124.6,123.52,121.57
9/02/2005,126.42,124.84,122.44
10/02/2005,132.13,129.74,126.24
11/02/2005,130.58,128.59,125.39
14/02/2005,129.44,127.7,124.8
15/02/2005,129.13,127.7,125.1
16/02/2005,134.2,132.35,129.25
17/02/2005,131.28,129.59,126.69
18/02/2005,134.93,132.44,129.14
22/02/2005,144.02,140.9,136.6
23/02/2005,148.31,143.61,138.01
24/02/2005,146.5,142.96,138.11
25/02/2005,145.41,142.86,138.06
28/02/2005,149.14,145.42,140.22
1/03/2005,146.52,141.98,138.63
2/03/2005,150.85,145.82,142.02
3/03/2005,149.08,144.87,141.72
4/03/2005,148.34,144.89,142.04
7/03/2005,148.5,145.99,143.24
8/03/2005,152.38,149.51,146.36
9/03/2005,153.25,149.9,146.75
10/03/2005,150.91,147.34,144.69
11/03/2005,154.27,150.07,146.97
14/03/2005,153.6,149.82,147.22
15/03/2005,155.2,151.48,148.78
16/03/2005,159.14,155.37,152.67
17/03/2005,159.14,155.88,153.73
18/03/2005,157.18,154.74,153.14
21/03/2005,157.35,155.45,154
22/03/2005,154.66,152.92,151.82
23/03/2005,153.36,151.42,150.47
24/03/2005,154.84,152.76,151.76
28/03/2005,154.76,150.4,148.95
29/03/2005,155.63,151.78,149.98
30/03/2005,160.66,156.42,154.57
31/03/2005,165.76,161.61,160.21
1/04/2005,166.38,165.6,165.95
4/04/2005,164.22,163.74,164.39
5/04/2005,162.11,161.54,162.19
6/04/2005,158.67,158.2,158.85
7/04/2005,152.83,152.82,153.57
8/04/2005,149.72,149.97,150.92
11/04/2005,148.71,149.24,150.24
12/04/2005,146.53,147.04,147.99
13/04/2005,144.2,145.03,145.98
14/04/2005,148.23,148.81,149.66
15/04/2005,145.99,146.38,147.18
18/04/2005,144.23,144.75,145.45
19/04/2005,149.3,149.7,150.4
20/04/2005,150.87,151.29,152.14
21/04/2005,153.4,153.8,154.65
22/04/2005,154.51,155.06,155.96
25/04/2005,151.81,152.66,153.76
26/04/2005,150.79,151.59,152.79
27/04/2005,147.4,147.51,148.56
28/04/2005,148.87,148.83,149.83
29/04/2005,143.58,142.59,143.84
2/05/2005,146.32,147.62,148.82
3/05/2005,143.6,144.58,145.53
4/05/2005,145.45,146.46,147.36
5/05/2005,144.37,145.55,146.5
6/05/2005,143.11,144.81,145.86
9/05/2005,144.02,145.4,146.5
10/05/2005,144.96,146.19,147.24
11/05/2005,140.31,141.76,142.86
12/05/2005,137.96,139.38,140.58
13/05/2005,137.03,138.18,139.33
16/05/2005,135.03,136.14,137.29
17/05/2005,137.39,138.33,139.38
18/05/2005,135.82,136.89,137.84
19/05/2005,138.05,138.85,139.65
20/05/2005,136.73,137.56,138.56
23/05/2005,136.65,137.66,138.71
24/05/2005,138.71,139.64,140.69
25/05/2005,142.84,143.63,144.63
26/05/2005,144.83,144.84,145.74
27/05/2005,144.58,144.64,145.54
31/05/2005,145.19,144.95,145.9
1/06/2005,154,154.79,155.99
2/06/2005,154.22,155.21,156.36
3/06/2005,159.95,160.92,162.22
6/06/2005,161.65,162.68,164.08
7/06/2005,160.08,161.37,162.97
8/06/2005,155.28,156.34,157.94
9/06/2005,162.56,163.74,165.19
10/06/2005,160.74,161.73,163.08
13/06/2005,166.31,167.59,168.94
14/06/2005,163.86,165.02,166.47
15/06/2005,162.11,163.51,165.11
16/06/2005,162.55,163.85,165.5
17/06/2005,165.18,166.36,168.11
20/06/2005,166.18,167.46,169.21
21/06/2005,162.97,164.32,166.07
22/06/2005,162.26,163.57,165.32
23/06/2005,167.56,168.77,170.27
24/06/2005,165.04,166.56,168.26
27/06/2005,167.61,169.4,171.05
28/06/2005,162.04,163.64,165.44
29/06/2005,160.16,162.24,164.19
30/06/2005,161.91,163.61,165.51
1/07/2005,171.11,173.07,174.97
5/07/2005,173.24,175.38,177.48
6/07/2005,179.48,181.26,183.16
7/07/2005,177.49,179.29,181.34
8/07/2005,171.81,174.26,176.31
11/07/2005,168.18,170.75,173.1
12/07/2005,175.15,177.53,179.78
13/07/2005,171.79,174.53,176.83
14/07/2005,165.69,168.37,170.67
15/07/2005,166.21,169,171.25
18/07/2005,163.16,166.37,168.77
19/07/2005,163.01,166.14,168.54
20/07/2005,159.77,163.42,166.22
21/07/2005,156.89,161.28,164.18
22/07/2005,158.19,162.83,165.78
25/07/2005,160.66,164.73,167.83
26/07/2005,160.37,164.57,167.77
27/07/2005,161.72,165.42,168.62
28/07/2005,164.55,167.71,170.96
29/07/2005,163.62,167.62,171.07
1/08/2005,171.69,175.45,178.8
2/08/2005,172.51,176.43,180.03
3/08/2005,168.89,172.84,176.44
4/08/2005,170.78,174.66,178.01
5/08/2005,173.12,177.15,180.45
8/08/2005,178.94,182.91,185.91
9/08/2005,177.66,181.4,184.25
10/08/2005,183.88,187.38,190.08
11/08/2005,189.85,193.12,195.42
12/08/2005,190.55,193.61,195.76
15/08/2005,186.92,190.56,193.46
16/08/2005,186.4,190.09,193.04
17/08/2005,178.39,181.69,184.69
18/08/2005,179.05,182.32,185.27
19/08/2005,182.28,185.61,188.21
22/08/2005,181.16,184.89,187.59
23/08/2005,181.94,185.06,187.81
24/08/2005,186.54,190.34,193.14
25/08/2005,186.95,190.78,193.68
26/08/2005,183.66,187.12,190.07
29/08/2005,190.88,193.41,195.46
30/08/2005,207.59,208.5,209.9
31/08/2005,205.3,207.65,208.95
1/09/2005,219.85,221.34,221.94
2/09/2005,209.11,211.04,212.04
6/09/2005,205.43,207.76,209.26
7/09/2005,196.23,198.9,200.9
8/09/2005,192.96,196.34,199.04
9/09/2005,189.65,193.98,196.88
12/09/2005,181.43,185.53,188.83
13/09/2005,184.02,188.1,191.15
14/09/2005,192.49,196.4,199.25
15/09/2005,191.2,195.25,198.35
16/09/2005,183.7,187.8,191.3
19/09/2005,203.84,206.83,209.33
20/09/2005,201.13,204.18,206.78
21/09/2005,203.87,206.15,208.3
22/09/2005,204.58,206.34,208.49
23/09/2005,194.9,198.27,200.87
26/09/2005,205.86,208.88,210.68
27/09/2005,206.86,209.4,211.3
28/09/2005,214.11,216.86,218.46
29/09/2005,212.47,215.45,217.15
30/09/2005,206.73,212.96,215.51
3/10/2005,208.09,210.98,212.73
4/10/2005,204.97,208.34,210.54
5/10/2005,201.48,204.9,207.6
6/10/2005,195.07,198.64,201.34
7/10/2005,196.01,200.23,203.08
10/10/2005,197.18,201.2,204.35
11/10/2005,201.79,205.35,208.25
12/10/2005,201.57,205.67,208.77
13/10/2005,199.69,203.42,206.77
14/10/2005,195,199.04,202.44
17/10/2005,198.33,202.36,205.41
18/10/2005,193.42,196.69,199.84
19/10/2005,191.34,194.51,197.46
20/10/2005,186.99,189.66,192.51
21/10/2005,186.65,189.97,193.02
24/10/2005,179.73,184.71,188.11
25/10/2005,188.99,193.26,196.56
26/10/2005,185.61,189.86,193.16
27/10/2005,185.39,190.13,193.48
28/10/2005,184.35,189.69,193.44
31/10/2005,176.98,182.39,186.99
1/11/2005,180.5,185.6,187.75
2/11/2005,178.29,182.79,184.99
3/11/2005,183.36,188.36,190.36
4/11/2005,179.62,184.69,186.89
7/11/2005,178.61,183.95,186.1
8/11/2005,177.85,183.26,185.46
9/11/2005,178.96,184.38,186.43
10/11/2005,174.35,180.15,182.55
11/11/2005,172.35,179.05,181.9
14/11/2005,173.04,180.02,183.17
15/11/2005,168.09,175.24,178.84
16/11/2005,172.92,179.49,182.54
17/11/2005,169.7,176.59,179.89
18/11/2005,169.62,176.37,179.72
21/11/2005,170.95,177.34,180.54
22/11/2005,173.61,179.58,182.48
23/11/2005,168.92,174.88,178.18
28/11/2005,163.56,169.26,172.81
29/11/2005,160.97,167.2,170.65
30/11/2005,161.64,168.97,172.77
1/12/2005,173.87,177.58,177.78
2/12/2005,177.2,180.6,180.4
5/12/2005,178.96,182.33,182.23
6/12/2005,177.2,181.27,181.72
7/12/2005,173.66,178.59,179.84
8/12/2005,178.32,183.31,184.61
9/12/2005,173.18,178.36,180.36
12/12/2005,177.25,182.32,184.27
13/12/2005,183.65,187.85,189.3
14/12/2005,184.5,187.97,188.37
15/12/2005,178.73,182.2,183
16/12/2005,173.2,176.2,177
19/12/2005,170.33,173.47,174.67
20/12/2005,172.03,174.87,175.87
21/12/2005,175.64,177.85,178.7
22/12/2005,174,175.64,176.44
23/12/2005,170.53,172.48,173.63
27/12/2005,163.7,166.56,168.51
28/12/2005,168.25,171,173.3
29/12/2005,170.29,173.31,175.61
30/12/2005,172.8,176.98,179.13
3/01/2006,179.64,181.54,180.64
4/01/2006,181.77,183.79,183.19
5/01/2006,178.81,181.18,181.48
6/01/2006,180.06,182.67,183.07
9/01/2006,176.77,179.89,180.74
10/01/2006,173.79,177.08,178.08
11/01/2006,172.71,175.82,177.02
12/01/2006,171.13,174.23,175.63
13/01/2006,171.5,174.66,176.06
17/01/2006,179.15,182.2,183.6
18/01/2006,175.55,178.98,180.58
19/01/2006,179.69,183.41,185.01
20/01/2006,186.72,189.77,190.82
23/01/2006,184.09,187.22,188.47
24/01/2006,181.71,184.39,185.69
25/01/2006,179.06,181.32,182.52
26/01/2006,177.8,180.51,182.21
27/01/2006,180.69,183.75,185.75
