Date,NG1,NG2,NG3,,,
3/01/2005,5.79,5.849,5.784,,,
4/01/2005,5.902,5.953,5.863,,,
5/01/2005,5.833,5.899,5.835,,,
6/01/2005,6.049,6.115,6.05,,,
7/01/2005,6.001,6.068,6.008,,,
10/01/2005,6.159,6.231,6.146,,,
11/01/2005,6.095,6.142,6.085,,,
12/01/2005,5.943,6.002,5.952,,,
13/01/2005,6.445,6.497,6.362,,,
14/01/2005,6.395,6.432,6.292,,,
18/01/2005,6.137,6.158,6.088,,,
19/01/2005,6.293,6.327,6.222,,,
20/01/2005,6.308,6.354,6.238,,,
21/01/2005,6.24,6.263,6.178,,,
24/01/2005,6.476,6.516,6.386,,,
25/01/2005,6.403,6.444,6.354,,,
26/01/2005,6.388,6.421,6.366,,,
27/01/2005,6.288,6.352,6.322,,,
28/01/2005,6.259,6.259,6.286,,,
31/01/2005,6.321,6.346,6.376,,,
1/02/2005,6.316,6.346,6.376,,,
2/02/2005,6.376,6.394,6.424,,,
3/02/2005,6.149,6.184,6.229,,,
4/02/2005,6.096,6.13,6.18,,,
7/02/2005,5.969,6.024,6.087,,,
8/02/2005,6.164,6.221,6.278,,,
9/02/2005,6.165,6.218,6.276,,,
10/02/2005,6.16,6.223,6.288,,,
11/02/2005,6.093,6.171,6.244,,,
14/02/2005,6.093,6.162,6.244,,,
15/02/2005,6.175,6.245,6.322,,,
16/02/2005,6.109,6.184,6.266,,,
17/02/2005,5.923,6.01,6.1,,,
18/02/2005,5.908,5.987,6.087,,,
22/02/2005,6.103,6.221,6.316,,,
23/02/2005,6.311,6.42,6.508,,,
24/02/2005,6.304,6.454,6.554,,,
25/02/2005,6.715,6.81,6.865,,,
28/02/2005,6.73,6.81,6.87,,,
1/03/2005,6.68,6.772,6.842,,,
2/03/2005,6.717,6.812,6.894,,,
3/03/2005,6.657,6.772,6.859,,,
4/03/2005,6.744,6.856,6.941,,,
7/03/2005,6.714,6.846,6.934,,,
8/03/2005,6.847,6.978,7.063,,,
9/03/2005,6.88,6.993,7.078,,,
10/03/2005,6.768,6.87,6.945,,,
11/03/2005,6.772,6.885,6.955,,,
14/03/2005,7.138,7.237,7.292,,,
15/03/2005,7.179,7.278,7.348,,,
16/03/2005,7.192,7.318,7.403,,,
17/03/2005,7.238,7.374,7.459,,,
18/03/2005,7.273,7.393,7.478,,,
21/03/2005,7.318,7.45,7.55,,,
22/03/2005,7.248,7.365,7.47,,,
23/03/2005,7.138,7.255,7.36,,,
24/03/2005,7.062,7.184,7.292,,,
28/03/2005,6.999,7.122,7.232,,,
29/03/2005,7.323,7.402,7.51,,,
30/03/2005,7.46,7.565,7.655,,,
31/03/2005,7.653,7.758,7.843,,,
1/04/2005,7.749,7.86,7.948,,,
4/04/2005,7.594,7.706,7.806,,,
5/04/2005,7.572,7.679,7.777,,,
6/04/2005,7.558,7.668,7.768,,,
7/04/2005,7.366,7.485,7.594,,,
8/04/2005,7.242,7.359,7.466,,,
11/04/2005,7.309,7.424,7.526,,,
12/04/2005,7.094,7.207,7.307,,,
13/04/2005,6.978,7.085,7.182,,,
14/04/2005,7.069,7.179,7.27,,,
15/04/2005,6.997,7.103,7.214,,,
18/04/2005,6.95,7.049,7.146,,,
19/04/2005,7.045,7.14,7.237,,,
20/04/2005,7.057,7.154,7.249,,,
21/04/2005,7.032,7.11,7.217,,,
22/04/2005,7.195,7.269,7.359,,,
25/04/2005,7.153,7.216,7.306,,,
26/04/2005,7.12,7.181,7.261,,,
27/04/2005,6.748,6.8,6.888,,,
28/04/2005,6.748,6.842,6.91,,,
29/04/2005,6.585,6.694,6.764,,,
2/05/2005,6.697,6.796,6.869,,,
3/05/2005,6.515,6.62,6.698,,,
4/05/2005,6.63,6.728,6.806,,,
5/05/2005,6.691,6.792,6.862,,,
6/05/2005,6.621,6.719,6.789,,,
9/05/2005,6.674,6.774,6.844,,,
10/05/2005,6.694,6.788,6.863,,,
11/05/2005,6.683,6.772,6.84,,,
12/05/2005,6.511,6.592,6.66,,,
13/05/2005,6.536,6.618,6.684,,,
16/05/2005,6.446,6.515,6.583,,,
17/05/2005,6.476,6.542,6.61,,,
18/05/2005,6.392,6.452,6.517,,,
19/05/2005,6.357,6.415,6.477,,,
20/05/2005,6.343,6.408,6.478,,,
23/05/2005,6.407,6.463,6.53,,,
24/05/2005,6.349,6.386,6.452,,,
25/05/2005,6.315,6.372,6.437,,,
26/05/2005,6.123,6.212,6.287,,,
27/05/2005,6.37,6.445,6.482,,,
31/05/2005,6.379,6.452,6.49,,,
1/06/2005,6.789,6.859,6.893,,,
