Date,SI1,SI2,SI3,,,
3/01/2005,6.507,6.543,6.579,,,
4/01/2005,6.452,6.488,6.524,,,
5/01/2005,6.535,6.57,6.605,,,
6/01/2005,6.455,6.49,6.525,,,
7/01/2005,6.45,6.483,6.518,,,
10/01/2005,6.45,6.485,6.52,,,
11/01/2005,6.638,6.674,6.709,,,
12/01/2005,6.743,6.78,6.816,,,
13/01/2005,6.745,6.782,6.818,,,
14/01/2005,6.6,6.632,6.669,,,
18/01/2005,6.655,6.692,6.729,,,
19/01/2005,6.625,6.662,6.699,,,
20/01/2005,6.558,6.595,6.632,,,
21/01/2005,6.81,6.849,6.886,,,
24/01/2005,6.86,6.898,6.935,,,
25/01/2005,6.685,6.723,6.761,,,
26/01/2005,6.805,6.843,6.88,,,
27/01/2005,6.82,6.858,6.896,,,
28/01/2005,6.795,6.834,6.872,,,
31/01/2005,6.747,6.786,6.824,,,
1/02/2005,6.73,6.769,6.807,,,
2/02/2005,6.75,6.789,6.827,,,
3/02/2005,6.677,6.716,6.753,,,
4/02/2005,6.64,6.68,6.711,,,
7/02/2005,6.555,6.593,6.631,,,
8/02/2005,6.557,6.596,6.634,,,
9/02/2005,6.59,6.628,6.666,,,
10/02/2005,6.965,7.004,7.042,,,
11/02/2005,7.21,7.25,7.29,,,
14/02/2005,7.34,7.381,7.422,,,
15/02/2005,7.36,7.402,7.444,,,
16/02/2005,7.255,7.297,7.338,,,
17/02/2005,7.37,7.412,7.453,,,
18/02/2005,7.39,7.43,7.501,,,
22/02/2005,7.52,7.565,7.607,,,
23/02/2005,7.443,7.488,7.53,,,
24/02/2005,7.383,7.429,7.471,,,
25/02/2005,7.291,7.337,7.378,,,
28/02/2005,7.359,7.395,7.437,,,
1/03/2005,7.229,7.265,7.307,,,
2/03/2005,7.307,7.343,7.385,,,
3/03/2005,7.229,7.265,7.307,,,
4/03/2005,7.349,7.385,7.425,,,
7/03/2005,7.359,7.395,7.435,,,
8/03/2005,7.502,7.538,7.579,,,
9/03/2005,7.604,7.64,7.681,,,
10/03/2005,7.492,7.527,7.57,,,
11/03/2005,7.535,7.57,7.614,,,
14/03/2005,7.38,7.41,7.454,,,
15/03/2005,7.377,7.407,7.451,,,
16/03/2005,7.425,7.452,7.496,,,
17/03/2005,7.385,7.407,7.45,,,
18/03/2005,7.377,7.397,7.439,,,
21/03/2005,7.097,7.112,7.154,,,
22/03/2005,7.07,7.078,7.12,,,
23/03/2005,6.977,6.985,7.027,,,
24/03/2005,6.933,6.938,6.98,,,
28/03/2005,6.91,6.91,6.952,,,
29/03/2005,7.012,6.982,7.025,,,
30/03/2005,7.147,7.191,7.237,,,
31/03/2005,7.18,7.224,7.27,,,
1/04/2005,7,7.044,7.09,,,
4/04/2005,7.024,7.069,7.115,,,
5/04/2005,7.043,7.088,7.134,,,
6/04/2005,7.12,7.165,7.211,,,
7/04/2005,7.075,7.12,7.166,,,
8/04/2005,7.165,7.21,7.256,,,
11/04/2005,7.255,7.301,7.347,,,
12/04/2005,7.155,7.201,7.247,,,
13/04/2005,7.225,7.271,7.317,,,
14/04/2005,7.06,7.106,7.152,,,
15/04/2005,7.022,7.068,7.114,,,
18/04/2005,7.045,7.09,7.136,,,
19/04/2005,7.25,7.295,7.341,,,
20/04/2005,7.337,7.382,7.428,,,
21/04/2005,7.217,7.262,7.308,,,
22/04/2005,7.275,7.321,7.367,,,
25/04/2005,7.26,7.306,7.351,,,
26/04/2005,7.255,7.302,7.346,,,
27/04/2005,7.135,7.181,7.225,,,
28/04/2005,6.907,6.948,6.992,,,
29/04/2005,6.903,6.94,6.985,,,
2/05/2005,6.84,6.875,6.921,,,
3/05/2005,6.851,6.883,6.929,,,
4/05/2005,6.982,7.013,7.056,,,
5/05/2005,7.05,7.063,7.098,,,
6/05/2005,6.952,6.965,6.999,,,
9/05/2005,7.067,7.08,7.112,,,
10/05/2005,7.1,7.115,7.156,,,
11/05/2005,7.08,7.095,7.137,,,
12/05/2005,6.948,6.965,7.009,,,
13/05/2005,6.925,6.94,6.984,,,
16/05/2005,6.935,6.958,6.998,,,
17/05/2005,7.025,7.045,7.077,,,
18/05/2005,7.185,7.205,7.239,,,
19/05/2005,7.12,7.14,7.176,,,
20/05/2005,6.935,6.955,6.993,,,
23/05/2005,6.95,6.97,7.006,,,
24/05/2005,6.988,7.003,7.04,,,
25/05/2005,7.123,7.138,7.176,,,
26/05/2005,7.152,7.162,7.2,,,
27/05/2005,7.31,7.349,7.389,,,
31/05/2005,7.452,7.495,7.525,,,
1/06/2005,7.52,7.558,7.58,,,
2/06/2005,7.545,7.584,7.605,,,
3/06/2005,7.51,7.55,7.574,,,
6/06/2005,7.54,7.58,7.608,,,
7/06/2005,7.445,7.487,7.523,,,
8/06/2005,7.475,7.519,7.559,,,
9/06/2005,7.27,7.315,7.359,,,
10/06/2005,7.288,7.333,7.377,,,
13/06/2005,7.265,7.31,7.355,,,
14/06/2005,7.28,7.326,7.374,,,
15/06/2005,7.33,7.376,7.426,,,
16/06/2005,7.37,7.416,7.466,,,
17/06/2005,7.335,7.381,7.431,,,
20/06/2005,7.302,7.348,7.401,,,
21/06/2005,7.292,7.338,7.395,,,
22/06/2005,7.258,7.305,7.363,,,
23/06/2005,7.273,7.321,7.38,,,
24/06/2005,7.28,7.329,7.386,,,
27/06/2005,7.242,7.29,7.34,,,
28/06/2005,7.096,7.14,7.192,,,
29/06/2005,7.057,7.105,7.16,,,
30/06/2005,7.028,7.075,7.13,,,
1/07/2005,6.851,6.895,6.953,,,
5/07/2005,6.83,6.87,6.933,,,
6/07/2005,6.916,6.955,7.016,,,
7/07/2005,6.949,6.985,7.045,,,
8/07/2005,6.994,7.03,7.091,,,
11/07/2005,7.069,7.105,7.166,,,
12/07/2005,7.048,7.085,7.148,,,
13/07/2005,7.033,7.07,7.134,,,
14/07/2005,6.961,6.995,7.058,,,
15/07/2005,6.956,6.99,7.052,,,
18/07/2005,6.974,7.005,7.067,,,
19/07/2005,6.954,6.985,7.048,,,
20/07/2005,7.038,7.068,7.129,,,
21/07/2005,7.106,7.135,7.196,,,
22/07/2005,7.086,7.115,7.178,,,
25/07/2005,7.113,7.14,7.203,,,
26/07/2005,6.993,7.018,7.085,,,
27/07/2005,7.015,7.04,7.108,,,
28/07/2005,7.2,7.268,7.315,,,
29/07/2005,7.262,7.329,7.368,,,
1/08/2005,7.305,7.372,7.413,,,
2/08/2005,7.262,7.333,7.374,,,
3/08/2005,7.307,7.378,7.421,,,
4/08/2005,7.252,7.324,7.37,,,
5/08/2005,7.158,7.232,7.278,,,
8/08/2005,7.015,7.089,7.139,,,
9/08/2005,7.035,7.109,7.163,,,
10/08/2005,7.078,7.152,7.206,,,
11/08/2005,7.183,7.258,7.311,,,
12/08/2005,7.09,7.165,7.218,,,
15/08/2005,6.965,7.04,7.096,,,
16/08/2005,7.043,7.118,7.174,,,
17/08/2005,6.993,7.068,7.126,,,
18/08/2005,6.998,7.073,7.135,,,
19/08/2005,7.008,7.083,7.144,,,
22/08/2005,7.06,7.135,7.196,,,
23/08/2005,6.968,7.042,7.104,,,
24/08/2005,6.922,6.993,7.055,,,
25/08/2005,6.832,6.901,6.963,,,
26/08/2005,6.742,6.806,6.868,,,
29/08/2005,6.73,6.795,6.857,,,
30/08/2005,6.691,6.765,6.828,,,
31/08/2005,6.781,6.855,6.918,,,
1/09/2005,6.966,7.038,7.097,,,
2/09/2005,7.008,7.075,7.134,,,
6/09/2005,7.031,7.098,7.157,,,
7/09/2005,7.051,7.118,7.17,,,
8/09/2005,6.966,7.028,7.084,,,
9/09/2005,7.003,7.065,7.122,,,
12/09/2005,6.998,7.06,7.117,,,
13/09/2005,6.943,7.005,7.064,,,
14/09/2005,6.986,7.045,7.104,,,
15/09/2005,7.019,7.078,7.136,,,
16/09/2005,7.229,7.288,7.345,,,
19/09/2005,7.338,7.398,7.45,,,
20/09/2005,7.315,7.375,7.427,,,
21/09/2005,7.355,7.415,7.469,,,
22/09/2005,7.353,7.415,7.47,,,
23/09/2005,7.273,7.335,7.39,,,
26/09/2005,7.307,7.365,7.42,,,
27/09/2005,7.271,7.328,7.383,,,
28/09/2005,7.347,7.403,7.457,,,
29/09/2005,7.555,7.608,7.627,,,
30/09/2005,7.512,7.565,7.581,,,
3/10/2005,7.455,7.509,7.524,,,
4/10/2005,7.425,7.481,7.499,,,
5/10/2005,7.478,7.535,7.556,,,
6/10/2005,7.595,7.651,7.668,,,
7/10/2005,7.77,7.825,7.841,,,
10/10/2005,7.845,7.9,7.916,,,
11/10/2005,7.875,7.929,7.944,,,
12/10/2005,7.838,7.895,7.913,,,
