Date,S1,S2,S3,,,
3/01/2005,537.25,535.5,541.25,,,
4/01/2005,529.75,525,530,,,
5/01/2005,534,527,531,,,
6/01/2005,541.75,532.5,536.25,,,
7/01/2005,551.75,542.25,546.5,,,
10/01/2005,560,548.5,551,,,
11/01/2005,557.5,543.25,546.5,,,
12/01/2005,554,533.75,536.25,,,
13/01/2005,557.5,536.5,539,,,
14/01/2005,542,519.5,522.75,,,
18/01/2005,513.5,516.25,522.75,,,
19/01/2005,517.75,518.75,524.5,,,
20/01/2005,523.25,521,526,,,
21/01/2005,516.75,516,520.75,,,
24/01/2005,520,520.25,525.5,,,
25/01/2005,526,524,528,,,
26/01/2005,523,521.25,525.75,,,
27/01/2005,515.75,514,518.5,,,
28/01/2005,514,513,518,,,
31/01/2005,514.75,512.5,517.5,,,
1/02/2005,507,507,513,,,
2/02/2005,505.25,506.25,512.25,,,
3/02/2005,502,504.25,509.75,,,
4/02/2005,499.5,502.25,507,,,
7/02/2005,501.25,505,508.25,,,
8/02/2005,503.5,506.5,510.75,,,
9/02/2005,510.75,511.25,513.5,,,
10/02/2005,516,515.25,518,,,
11/02/2005,525.75,526.5,527.75,,,
14/02/2005,535.75,536.25,538.25,,,
15/02/2005,535.25,535.5,538,,,
16/02/2005,535,534.75,537,,,
17/02/2005,552,553,556.25,,,
18/02/2005,552.5,555.75,559.25,,,
22/02/2005,577,583,588.75,,,
23/02/2005,576.75,582.5,586.25,,,
24/02/2005,569,574,576.5,,,
25/02/2005,597.5,604.5,608.5,,,
28/02/2005,615.5,622,625,,,
1/03/2005,605,613.25,617.5,,,
2/03/2005,618.75,627.25,632.25,,,
3/03/2005,620,627.25,630,,,
4/03/2005,622.75,629.75,633.75,,,
7/03/2005,608.5,616,620,,,
8/03/2005,619.5,625.5,629.25,,,
9/03/2005,624,629.5,634,,,
10/03/2005,633.25,639.25,643,,,
11/03/2005,656.75,662.5,666.5,,,
14/03/2005,654,656,661,,,
15/03/2005,681,684.75,682.5,,,
16/03/2005,673.5,678.75,676,,,
17/03/2005,671.5,676,674,,,
18/03/2005,649,653,650.5,,,
21/03/2005,626.5,631,628.5,,,
22/03/2005,627.25,631.5,629,,,
23/03/2005,623.25,628,625.25,,,
24/03/2005,628.75,634,630.5,,,
28/03/2005,625.75,631.5,627.75,,,
29/03/2005,624,629.25,627.25,,,
30/03/2005,641,646,642.75,,,
31/03/2005,627.5,636,629.5,,,
1/04/2005,614,623.5,620,,,
4/04/2005,615,622,618.5,,,
5/04/2005,617.5,624.75,623.75,,,
6/04/2005,623.25,630.25,628.5,,,
7/04/2005,623.5,631.75,629.5,,,
8/04/2005,612,619.5,619,,,
11/04/2005,616.75,624.5,622.75,,,
12/04/2005,617.5,624.5,622.5,,,
13/04/2005,623.25,630,628,,,
14/04/2005,617,623,621,,,
15/04/2005,616.25,622,620,,,
18/04/2005,609.5,616.25,614.5,,,
19/04/2005,631,639,637.25,,,
20/04/2005,630.75,639,637.25,,,
21/04/2005,637.75,645.25,643.75,,,
22/04/2005,633,640.5,638.75,,,
25/04/2005,635.25,642,641.25,,,
26/04/2005,636.75,643.5,641.25,,,
27/04/2005,627.25,633.75,632,,,
28/04/2005,618,625.25,624.75,,,
29/04/2005,619.25,626.25,626,,,
2/05/2005,619.25,627.25,625.75,,,
3/05/2005,618.75,625.5,625.5,,,
4/05/2005,620,624.5,624.25,,,
5/05/2005,623.5,628.75,627.25,,,
6/05/2005,635,640,637.75,,,
9/05/2005,632,637.75,636.5,,,
10/05/2005,628.25,634,634,,,
11/05/2005,628,633,633,,,
12/05/2005,619.75,623.5,623.25,,,
13/05/2005,603.75,612.75,612.75,,,
16/05/2005,623.5,623,617.5,,,
17/05/2005,620.75,620.5,617.5,,,
18/05/2005,633.25,632.5,630,,,
19/05/2005,629.25,629.25,626,,,
20/05/2005,632,632,630,,,
23/05/2005,640,640.25,637.5,,,
24/05/2005,645.5,645.5,644.75,,,
25/05/2005,666.5,666,664.5,,,
26/05/2005,676,676.75,674.5,,,
27/05/2005,667.75,669,667.5,,,
31/05/2005,680.25,681.5,681,,,
1/06/2005,685.25,686.75,688.5,,,
2/06/2005,668.5,670,670.25,,,
3/06/2005,675.25,677.25,677.75,,,
6/06/2005,677.75,680.25,681.5,,,
7/06/2005,674.75,677.75,679.75,,,
8/06/2005,667.5,669.75,672.25,,,
9/06/2005,673.25,676.25,677.75,,,
10/06/2005,666.25,669.5,671,,,
13/06/2005,680.5,683,687,,,
14/06/2005,689.75,693.25,696.25,,,
15/06/2005,702.5,706.5,709,,,
16/06/2005,700.75,706.25,710.5,,,
17/06/2005,724,727.5,731.5,,,
20/06/2005,739,744.5,750,,,
21/06/2005,735.25,739,744.5,,,
22/06/2005,737,740,744.5,,,
23/06/2005,725.75,730.5,734.5,,,
24/06/2005,744.5,748.25,756,,,
27/06/2005,694.5,698.25,706,,,
28/06/2005,666.75,671.5,676.5,,,
29/06/2005,672,676.5,680,,,
30/06/2005,651.75,656,658.5,,,
1/07/2005,673.5,676,678.5,,,
5/07/2005,712.25,715.5,719.25,,,
6/07/2005,696.25,698.25,702.25,,,
7/07/2005,692,694.5,699.5,,,
8/07/2005,675.5,678,681.25,,,
11/07/2005,688,690,694.5,,,
12/07/2005,698.5,701.25,705,,,
13/07/2005,711.5,714,716.75,,,
14/07/2005,723,720,722.25,,,
15/07/2005,721,724.5,731.5,,,
18/07/2005,717.25,720.75,727.75,,,
19/07/2005,682.5,685.5,691,,,
20/07/2005,684.5,688.75,694.5,,,
21/07/2005,669.5,674.5,679.5,,,
22/07/2005,669.25,673.25,679.5,,,
25/07/2005,669.75,674.5,682.5,,,
26/07/2005,676,679.25,689,,,
27/07/2005,673.75,678,686.5,,,
28/07/2005,684.25,689,698.25,,,
29/07/2005,671.75,677,686.75,,,
1/08/2005,673,677.25,687.5,,,
2/08/2005,689.5,694.5,704.5,,,
3/08/2005,670,675.25,681.5,,,
4/08/2005,671.25,675.5,682.5,,,
5/08/2005,658.5,661.75,669,,,
8/08/2005,660.5,664.25,670.75,,,
9/08/2005,643,646.25,652.75,,,
10/08/2005,643.5,645.75,652.75,,,
11/08/2005,641,643.25,650.25,,,
12/08/2005,643,640.5,648,,,
15/08/2005,612.75,619.75,624.25,,,
16/08/2005,616.75,625,630.5,,,
17/08/2005,615,624.75,631.5,,,
18/08/2005,609.75,620.25,627,,,
19/08/2005,597.25,607.5,613.75,,,
22/08/2005,607.25,617.25,623.5,,,
23/08/2005,610.75,620.5,626,,,
24/08/2005,602.5,612.75,619.75,,,
25/08/2005,587,597.75,604.25,,,
26/08/2005,591,602,609.25,,,
29/08/2005,594,606,613.25,,,
30/08/2005,599.75,611,618.5,,,
31/08/2005,586.75,598.75,605.75,,,
1/09/2005,595.75,607,615,,,
2/09/2005,588.5,599,607.25,,,
6/09/2005,604.75,614.25,622.5,,,
7/09/2005,595,606.25,613.5,,,
8/09/2005,590.5,600.5,608.5,,,
9/09/2005,580.5,590,598.75,,,
12/09/2005,575,585,593.5,,,
13/09/2005,576,586,594.5,,,
14/09/2005,569.5,580.25,588.75,,,
15/09/2005,568.75,577.75,585.5,,,
16/09/2005,571.25,580,587.25,,,
19/09/2005,576,585.25,592.25,,,
20/09/2005,572,581,588.25,,,
21/09/2005,577.75,586.75,594,,,
22/09/2005,580.5,588.75,596.75,,,
23/09/2005,574,582.5,590.5,,,
26/09/2005,567.5,576.25,584.25,,,
27/09/2005,557.5,566.75,574.25,,,
28/09/2005,562.75,572.25,580.25,,,
29/09/2005,560.5,570.25,578.25,,,
30/09/2005,573.25,583.25,590.75,,,
3/10/2005,581,592.5,599.5,,,
4/10/2005,562.5,574.25,582.25,,,
5/10/2005,563.5,575,582.75,,,
6/10/2005,564.25,576.5,583.5,,,
7/10/2005,564.25,576,583.75,,,
