Date,SB1,SB2,SB3,,,,,,
3/01/2005,9.17,9.37,9.3,,,,,,
4/01/2005,9.03,9.27,9.21,,,,,,
5/01/2005,8.98,9.23,9.19,,,,,,
6/01/2005,8.99,9.26,9.21,,,,,,
7/01/2005,8.71,9.01,8.99,,,,,,
10/01/2005,8.52,8.86,8.85,,,,,,
11/01/2005,8.55,8.89,8.86,,,,,,
12/01/2005,8.62,8.94,8.9,,,,,,
13/01/2005,8.72,9.03,8.98,,,,,,
14/01/2005,8.83,9.13,9.06,,,,,,
18/01/2005,8.84,9.15,9.08,,,,,,
19/01/2005,8.87,9.16,9.08,,,,,,
20/01/2005,8.96,9.23,9.14,,,,,,
21/01/2005,8.88,9.18,9.07,,,,,,
24/01/2005,8.9,9.22,9.09,,,,,,
25/01/2005,8.98,9.29,9.15,,,,,,
26/01/2005,9.3,9.58,9.34,,,,,,
27/01/2005,9.22,9.51,9.3,,,,,,
28/01/2005,9.15,9.46,9.29,,,,,,
31/01/2005,9.22,9.54,9.34,,,,,,
1/02/2005,8.95,9.32,9.14,,,,,,
2/02/2005,8.81,9.2,9.05,,,,,,
3/02/2005,8.94,9.34,9.18,,,,,,
4/02/2005,9.08,9.47,9.28,,,,,,
7/02/2005,8.93,9.38,9.2,,,,,,
8/02/2005,9.01,9.41,9.3,,,,,,
9/02/2005,9.04,9.43,9.3,,,,,,
10/02/2005,9.15,9.53,9.35,,,,,,
11/02/2005,9.13,9.44,9.31,,,,,,
14/02/2005,9.03,9.39,9.29,,,,,,
15/02/2005,9.1,9.46,9.34,,,,,,
16/02/2005,8.88,9.24,9.15,,,,,,
17/02/2005,8.93,9.3,9.25,,,,,,
18/02/2005,8.85,9.21,9.17,,,,,,
22/02/2005,8.99,9.37,9.32,,,,,,
23/02/2005,8.91,9.3,9.28,,,,,,
24/02/2005,8.75,9.16,9.16,,,,,,
25/02/2005,8.64,9.03,9.08,,,,,,
28/02/2005,8.42,9.17,9.22,,,,,,
1/03/2005,9.06,9.15,9.17,,,,,,
2/03/2005,9.04,9.13,9.15,,,,,,
3/03/2005,8.98,9.1,9.13,,,,,,
4/03/2005,8.87,9.02,9.08,,,,,,
7/03/2005,8.78,8.91,8.98,,,,,,
8/03/2005,8.96,9.06,9.11,,,,,,
9/03/2005,9,9.13,9.18,,,,,,
10/03/2005,8.97,9.13,9.21,,,,,,
11/03/2005,9.17,9.29,9.35,,,,,,
14/03/2005,9.23,9.36,9.4,,,,,,
15/03/2005,9.14,9.32,9.41,,,,,,
16/03/2005,9.15,9.32,9.41,,,,,,
17/03/2005,9.12,9.31,9.42,,,,,,
18/03/2005,9.03,9.22,9.36,,,,,,
21/03/2005,8.76,8.98,9.17,,,,,,
22/03/2005,8.75,8.94,9.1,,,,,,
23/03/2005,8.63,8.82,8.99,,,,,,
24/03/2005,8.67,8.88,9.06,,,,,,
28/03/2005,8.61,8.84,9.04,,,,,,
29/03/2005,8.52,8.76,8.94,,,,,,
30/03/2005,8.55,8.75,8.9,,,,,,
31/03/2005,8.7,8.9,9.04,,,,,,
1/04/2005,8.52,8.75,8.89,,,,,,
4/04/2005,8.41,8.62,8.78,,,,,,
5/04/2005,8.55,8.74,8.86,,,,,,
6/04/2005,8.57,8.75,8.89,,,,,,
7/04/2005,8.66,8.83,8.94,,,,,,
8/04/2005,8.48,8.64,8.8,,,,,,
11/04/2005,8.35,8.48,8.67,,,,,,
12/04/2005,8.45,8.59,8.72,,,,,,
13/04/2005,8.34,8.49,8.63,,,,,,
14/04/2005,8.15,8.28,8.43,,,,,,
15/04/2005,8.08,8.22,8.35,,,,,,
18/04/2005,8.18,8.3,8.42,,,,,,
19/04/2005,8.33,8.43,8.51,,,,,,
20/04/2005,8.4,8.44,8.52,,,,,,
21/04/2005,8.46,8.43,8.49,,,,,,
22/04/2005,8.35,8.37,8.43,,,,,,
25/04/2005,8.37,8.36,8.42,,,,,,
26/04/2005,8.5,8.52,8.51,,,,,,
27/04/2005,8.58,8.6,8.59,,,,,,
28/04/2005,8.45,8.54,8.56,,,,,,
29/04/2005,8.61,8.66,8.63,,,,,,
2/05/2005,8.68,8.63,8.62,,,,,,
3/05/2005,8.56,8.56,8.56,,,,,,
4/05/2005,8.49,8.5,8.5,,,,,,
5/05/2005,8.23,8.25,8.3,,,,,,
6/05/2005,8.42,8.44,8.49,,,,,,
9/05/2005,8.36,8.37,8.44,,,,,,
10/05/2005,8.39,8.41,8.47,,,,,,
11/05/2005,8.49,8.52,8.57,,,,,,
12/05/2005,8.26,8.36,8.46,,,,,,
13/05/2005,8.35,8.43,8.52,,,,,,
16/05/2005,8.35,8.43,8.54,,,,,,
17/05/2005,8.3,8.4,8.52,,,,,,
18/05/2005,8.4,8.51,8.62,,,,,,
19/05/2005,8.53,8.59,8.69,,,,,,
20/05/2005,8.59,8.69,8.8,,,,,,
23/05/2005,8.68,8.79,8.89,,,,,,
24/05/2005,8.62,8.73,8.83,,,,,,
25/05/2005,8.73,8.82,8.93,,,,,,
26/05/2005,8.8,8.9,9,,,,,,
27/05/2005,8.75,8.85,8.95,,,,,,
31/05/2005,8.76,8.87,8.96,,,,,,
1/06/2005,8.68,8.8,8.9,,,,,,
2/06/2005,8.67,8.77,8.87,,,,,,
3/06/2005,8.88,8.96,9.01,,,,,,
6/06/2005,8.83,8.92,8.97,,,,,,
7/06/2005,8.8,8.91,8.98,,,,,,
8/06/2005,8.78,8.91,8.97,,,,,,
9/06/2005,8.91,9,9.01,,,,,,
10/06/2005,8.9,9,9,,,,,,
13/06/2005,8.87,8.98,8.98,,,,,,
14/06/2005,8.84,8.95,8.99,,,,,,
15/06/2005,8.68,8.78,8.87,,,,,,
16/06/2005,8.86,8.93,8.99,,,,,,
17/06/2005,8.91,9.06,9.08,,,,,,
20/06/2005,8.98,9.13,9.16,,,,,,
21/06/2005,8.92,9.07,9.13,,,,,,
22/06/2005,8.95,9.11,9.19,,,,,,
23/06/2005,9.04,9.18,9.25,,,,,,
24/06/2005,8.97,9.09,9.17,,,,,,
27/06/2005,9.19,9.33,9.36,,,,,,
