Date,W1,W2,W3,,,
3/01/2005,302.25,309.25,316,,,
4/01/2005,296,304,309.75,,,
5/01/2005,299.75,307.25,314,,,
6/01/2005,308.25,315.5,322.25,,,
7/01/2005,309.75,317,323.25,,,
10/01/2005,307.75,315.25,321.25,,,
11/01/2005,306.5,314,320.25,,,
12/01/2005,307.25,314.25,321.5,,,
13/01/2005,307.5,315.25,322.5,,,
14/01/2005,297.5,305.25,312.25,,,
18/01/2005,296.5,304.25,311.5,,,
19/01/2005,299,306.25,312.5,,,
20/01/2005,294.75,302.25,308.25,,,
21/01/2005,295.75,302.75,309.75,,,
24/01/2005,295.25,302.75,309.75,,,
25/01/2005,297,304.5,311.5,,,
26/01/2005,295.25,303.25,309.5,,,
27/01/2005,289.5,297.5,304,,,
28/01/2005,290,297.5,304.75,,,
31/01/2005,291,298.75,305.5,,,
1/02/2005,292.25,300.75,307.25,,,
2/02/2005,288.25,296.75,303.25,,,
3/02/2005,289.75,298.5,305,,,
4/02/2005,287.75,296.5,303.25,,,
7/02/2005,292.5,301,307.25,,,
8/02/2005,291.75,300.5,305.25,,,
9/02/2005,290,299,304.5,,,
10/02/2005,296.25,304.5,309.75,,,
11/02/2005,294.5,303,309,,,
14/02/2005,301.75,309.25,316.5,,,
15/02/2005,299.25,306.75,313.5,,,
16/02/2005,292.5,299.75,306.5,,,
17/02/2005,295.5,303.25,311,,,
18/02/2005,296,304,311,,,
22/02/2005,312.5,320.75,325.5,,,
23/02/2005,316,324.5,331,,,
24/02/2005,312.75,321.25,327.75,,,
25/02/2005,323.25,333.25,339.25,,,
28/02/2005,337.25,345.25,351.5,,,
1/03/2005,330,338.25,344.5,,,
2/03/2005,332,340.5,347.25,,,
3/03/2005,330,338,344.75,,,
4/03/2005,329,337,343.5,,,
7/03/2005,323.25,332.25,338,,,
8/03/2005,329,337.25,343.75,,,
9/03/2005,333.5,340.75,347.5,,,
10/03/2005,340,348,355,,,
11/03/2005,351.5,358,366,,,
14/03/2005,348,354,361.5,,,
15/03/2005,368,375,380,,,
16/03/2005,361,368,372.75,,,
17/03/2005,366.5,374,377.5,,,
18/03/2005,356.5,364,368.75,,,
21/03/2005,342.5,351.25,355.5,,,
22/03/2005,344.5,353.75,358.5,,,
23/03/2005,336.75,345.75,350.5,,,
24/03/2005,338.5,347,353,,,
28/03/2005,336,345.5,351.25,,,
29/03/2005,334.5,343.5,349.5,,,
30/03/2005,333.5,342.5,348.5,,,
31/03/2005,331,341,346,,,
1/04/2005,322.5,333,339.25,,,
4/04/2005,316.5,325.25,332,,,
5/04/2005,311.25,321.25,327,,,
6/04/2005,314.25,324.5,331.25,,,
7/04/2005,314.25,324.5,331.5,,,
8/04/2005,310,320,328,,,
11/04/2005,313.5,323.5,329.5,,,
12/04/2005,311,321.25,328.5,,,
13/04/2005,310.5,320.5,327,,,
14/04/2005,309,318.25,325,,,
15/04/2005,305.25,314.25,320.5,,,
18/04/2005,301.75,311.25,317.75,,,
19/04/2005,308,317.75,324.75,,,
20/04/2005,310.75,321,328,,,
21/04/2005,311,320.75,328.5,,,
22/04/2005,309.25,319.25,326.5,,,
25/04/2005,320.75,330.5,337.5,,,
26/04/2005,322.75,333.5,340.75,,,
27/04/2005,319.5,329.25,337.25,,,
28/04/2005,317.25,327.25,336,,,
29/04/2005,318,326,334.5,,,
2/05/2005,314.5,323.25,331.75,,,
3/05/2005,308.25,317.75,326,,,
4/05/2005,308.25,317.25,325.75,,,
5/05/2005,305,313.75,322,,,
6/05/2005,309.5,317,326,,,
9/05/2005,305.5,313.5,323,,,
10/05/2005,312.5,321.5,331.25,,,
11/05/2005,306,313.75,322.75,,,
12/05/2005,301.5,308.75,317.75,,,
13/05/2005,296.5,302.75,311.75,,,
16/05/2005,306.25,316,325.25,,,
17/05/2005,310,319.5,329.5,,,
18/05/2005,315,324.75,334.75,,,
19/05/2005,309.5,318.75,328.75,,,
20/05/2005,313,323.5,332.5,,,
23/05/2005,333.75,344.25,352.25,,,
24/05/2005,332,342.25,351.5,,,
25/05/2005,330.25,340.25,349.75,,,
26/05/2005,337.75,347.25,356.5,,,
27/05/2005,335,344.25,354.25,,,
31/05/2005,331.75,342.25,350.25,,,
1/06/2005,331.5,341.5,350.75,,,
2/06/2005,323.5,333.25,343.5,,,
3/06/2005,323.25,334.5,343,,,
6/06/2005,322.5,332.25,341.25,,,
7/06/2005,319.25,329.25,340,,,
8/06/2005,313.25,324.25,334.5,,,
9/06/2005,314.25,324.5,335.75,,,
10/06/2005,313.5,324.5,335.5,,,
13/06/2005,313.75,324,335.25,,,
14/06/2005,316,326.25,337.5,,,
15/06/2005,323,333,344.75,,,
16/06/2005,323.5,333.25,343.5,,,
17/06/2005,327.5,337.5,348.75,,,
20/06/2005,339,348.5,359.75,,,
21/06/2005,335,345,356.5,,,
22/06/2005,336,345.75,358.25,,,
23/06/2005,331.75,342.25,354.25,,,
24/06/2005,339.5,350.25,362.5,,,
27/06/2005,331,340.5,352,,,
28/06/2005,327.75,338.25,350.5,,,
29/06/2005,328.5,338.5,351,,,
30/06/2005,321.5,331.5,344,,,
1/07/2005,324.25,334.5,348.25,,,
5/07/2005,337,346.5,360.5,,,
6/07/2005,332,342,355.75,,,
7/07/2005,334.75,344,357.25,,,
8/07/2005,328.5,337.25,351.25,,,
11/07/2005,327,335.25,349,,,
12/07/2005,323.75,332.5,345.5,,,
13/07/2005,332,339.75,353.5,,,
14/07/2005,338,344.5,359.5,,,
15/07/2005,348.5,362.25,375.25,,,
18/07/2005,352.25,367,380,,,
19/07/2005,338.5,352,365,,,
20/07/2005,333.25,348.25,360.75,,,
21/07/2005,327,342.5,355.25,,,
22/07/2005,330.5,344.5,358,,,
25/07/2005,325.75,340.75,353,,,
26/07/2005,328.5,343.5,356,,,
27/07/2005,330.5,345.25,358,,,
28/07/2005,333,347,359.5,,,
29/07/2005,327.75,342.25,354.5,,,
1/08/2005,330.5,345.25,357.5,,,
2/08/2005,332,347.5,359.5,,,
3/08/2005,326,341.5,354.5,,,
4/08/2005,325,339.75,352.5,,,
5/08/2005,320,336,349,,,
8/08/2005,322.25,337.5,350.5,,,
9/08/2005,319.5,334.5,346.75,,,
10/08/2005,323.5,337.5,349.5,,,
11/08/2005,326.25,342.5,355.5,,,
12/08/2005,321.25,335.75,348.5,,,
15/08/2005,315.75,331.25,343.75,,,
16/08/2005,310.25,325,337.75,,,
17/08/2005,314.25,329.25,341.75,,,
18/08/2005,320.75,335.5,348,,,
19/08/2005,325.25,339.25,351.5,,,
22/08/2005,323,336.75,349.25,,,
23/08/2005,317.25,331.5,344.5,,,
24/08/2005,314,328.5,341.25,,,
25/08/2005,315.75,331,344.25,,,
26/08/2005,312.25,327.5,339.75,,,
29/08/2005,310.5,326.25,339.75,,,
30/08/2005,307.25,323.25,337,,,
31/08/2005,301.5,317.5,331.5,,,
1/09/2005,306.75,322.5,336,,,
2/09/2005,305,320,334,,,
6/09/2005,305.5,321,335.25,,,
7/09/2005,303.5,318.75,333.25,,,
8/09/2005,309,323.5,336.75,,,
9/09/2005,313,325.75,339.75,,,
12/09/2005,313,326.5,340.5,,,
13/09/2005,316.5,329.5,343.25,,,
14/09/2005,311.5,327.25,341.5,,,
15/09/2005,322.75,337,343,,,
16/09/2005,324.25,338,344.5,,,
19/09/2005,320.25,334.75,341,,,
20/09/2005,321.25,336,343.25,,,
21/09/2005,325.25,339.75,346,,,
22/09/2005,332.25,346.5,353.5,,,
23/09/2005,333.5,348,355.5,,,
26/09/2005,329.25,344,350,,,
27/09/2005,327,341.5,348.25,,,
28/09/2005,328.75,343.25,349.5,,,
29/09/2005,333.5,347.25,354,,,
30/09/2005,346.25,361.5,368.5,,,
3/10/2005,348.75,362.5,369.25,,,
4/10/2005,347.25,361.5,368.5,,,
5/10/2005,345,359.25,366.5,,,
6/10/2005,345.25,359.25,366.5,,,
7/10/2005,338,352.5,360,,,
10/10/2005,339.75,354,361.5,,,
11/10/2005,342.75,357.75,364,,,
12/10/2005,347.5,361.5,369,,,
13/10/2005,343.5,357.5,365,,,
14/10/2005,339,353.5,361,,,
17/10/2005,336.25,351.25,358,,,
18/10/2005,328.75,343.5,350.5,,,
19/10/2005,327.75,341.75,350,,,
20/10/2005,332.25,346.75,354.5,,,
21/10/2005,330,345,352,,,
24/10/2005,323.25,338.5,346.75,,,
25/10/2005,325.5,340.25,349,,,
26/10/2005,323.5,338.75,346.5,,,
27/10/2005,324.5,339.75,348,,,
28/10/2005,317.75,333,341.25,,,
31/10/2005,317,332.75,341,,,
1/11/2005,317,332.75,341.25,,,
2/11/2005,313,328.5,337.25,,,
3/11/2005,313.25,328.75,337.25,,,
4/11/2005,311.25,327.25,336,,,
7/11/2005,310,325.75,334.75,,,
8/11/2005,313,329.25,338,,,
9/11/2005,315,331.25,339.75,,,
10/11/2005,309.75,326,335.25,,,
11/11/2005,311.5,328.25,337,,,
14/11/2005,311.75,328,336.5,,,
15/11/2005,307,323.25,332,,,
16/11/2005,306.75,322.5,331.5,,,
17/11/2005,304.75,321,330.5,,,
18/11/2005,302,317.75,327,,,
21/11/2005,298.5,313.25,322.75,,,
22/11/2005,297,312.75,321.75,,,
23/11/2005,297,312.75,321.5,,,
25/11/2005,297,312.25,320.75,,,
28/11/2005,297.5,313.25,323,,,
29/11/2005,300.5,316.75,325.5,,,
30/11/2005,304,320.75,329.5,,,
1/12/2005,305.5,322,331.5,,,
2/12/2005,303.5,319.75,328.75,,,
5/12/2005,304.5,320.25,329.5,,,
6/12/2005,299.75,315.75,325,,,
7/12/2005,297.25,313.25,322,,,
8/12/2005,295.5,312.25,321.25,,,
9/12/2005,293,307.5,317,,,
12/12/2005,299.5,314.75,324,,,
13/12/2005,304,318.5,327.25,,,
14/12/2005,309.5,323.75,333.25,,,
15/12/2005,318.75,328.5,337.25,,,
16/12/2005,319.75,328.75,338,,,
19/12/2005,323.25,332,341.75,,,
20/12/2005,328,337.25,346.75,,,
21/12/2005,327.5,337,347.5,,,
22/12/2005,330.75,340.25,349.75,,,
23/12/2005,334.5,343,353.25,,,
27/12/2005,340,349,358.5,,,
28/12/2005,345.5,354.25,363.75,,,
29/12/2005,337.25,347.25,356,,,
30/12/2005,339.25,348.75,357.25,,,
3/01/2006,346,355.5,364.75,,,
4/01/2006,346.25,355.75,365.25,,,
5/01/2006,339.75,349.25,358.75,,,
6/01/2006,330.75,340.75,350,,,
9/01/2006,326.5,337,346.25,,,
10/01/2006,329.25,339.5,348.25,,,
11/01/2006,330.5,341.25,350,,,
12/01/2006,333.25,344,353,,,
13/01/2006,334.75,345.25,353.75,,,
17/01/2006,328.75,338.75,348,,,
18/01/2006,322.5,333.5,342.5,,,
19/01/2006,326.5,337,346,,,
20/01/2006,326.5,337.25,346.75,,,
23/01/2006,326,337,346.5,,,
24/01/2006,332.5,343.25,353.25,,,
25/01/2006,342,352.75,362.5,,,
26/01/2006,344.5,355.75,365,,,
27/01/2006,343.5,354.75,364,,,
30/01/2006,345.25,356,365.5,,,
31/01/2006,343.25,354.5,364.5,,,
1/02/2006,339.25,350.25,360.25,,,
2/02/2006,347.25,358.5,368.75,,,
3/02/2006,356.5,367.75,378,,,
6/02/2006,355,365.75,375.5,,,
7/02/2006,351.75,363.25,373,,,
8/02/2006,356.75,368.75,378,,,
9/02/2006,363.25,374.75,384,,,
10/02/2006,355.25,367.25,376,,,
13/02/2006,348,360,368.75,,,
14/02/2006,347.25,358.5,369,,,
15/02/2006,352,363.25,374,,,
16/02/2006,359,370,379.75,,,
17/02/2006,368,379.5,389.75,,,
21/02/2006,372.5,384,393.25,,,
22/02/2006,365.5,377.5,387.25,,,
23/02/2006,366.25,377.5,387,,,
24/02/2006,368.25,380,389.75,,,
27/02/2006,373.25,385.75,396,,,
28/02/2006,370.25,381,393.5,,,
1/03/2006,362.75,374,385.25,,,
2/03/2006,369,380.5,391.75,,,
3/03/2006,373.5,385,396,,,
6/03/2006,370,380,391.5,,,
7/03/2006,370.5,381,392,,,
8/03/2006,376,384.5,395.75,,,
9/03/2006,370.75,381,393.25,,,
10/03/2006,374.5,381.5,393.5,,,
13/03/2006,360,367.5,379.5,,,
14/03/2006,352,362.5,374,,,
15/03/2006,362,373.5,384.25,,,
16/03/2006,352.75,364.75,377,,,
17/03/2006,357.5,370,380.5,,,
20/03/2006,350.25,362.25,373.5,,,
21/03/2006,352.5,364.75,375.5,,,
22/03/2006,349.25,362,372,,,
23/03/2006,344,356.25,367.75,,,
24/03/2006,342.5,354.5,365.5,,,
27/03/2006,339.75,351.75,363.5,,,
28/03/2006,341.25,354.5,365.75,,,
29/03/2006,341.75,354.5,365.5,,,
30/03/2006,344.5,357.25,368.5,,,
31/03/2006,347.75,361.5,371.25,,,
3/04/2006,342,355,366.5,,,
4/04/2006,342.75,356,367.5,,,
5/04/2006,347,360,371.25,,,
6/04/2006,352.5,366,377.25,,,
7/04/2006,351.25,364.75,375.5,,,
10/04/2006,361,373.75,385.25,,,
